name,url,remote_testing,adaptive_irt,duration,test_type
Verify - Working with Information,https://www.shl.com/products/product-catalog/view/verify-working-with-information/,False,False,1,Ability & Aptitude
Verify G+ - Ability Test Report,https://www.shl.com/products/product-catalog/view/verify-g-ability-test-report/,False,False,1,Ability & Aptitude
Verify G+ - Candidate Report,https://www.shl.com/products/product-catalog/view/verify-g-candidate-report/,False,False,1,Ability & Aptitude
Verify Interactive Ability Report,https://www.shl.com/products/product-catalog/view/verify-interactive-ability-report/,False,False,1,Ability & Aptitude
Verify Interactive G+ Candidate Report,https://www.shl.com/products/product-catalog/view/verify-interactive-g-candidate-report/,False,False,1,Ability & Aptitude
Verify Interactive G+ Report,https://www.shl.com/products/product-catalog/view/verify-interactive-g-report/,False,False,1,Ability & Aptitude
Store Manager 7.1 (International),https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28international%29/,False,False,1,"Competencies, Biodata & Situational Judgement"
Store Manager Solution,https://www.shl.com/products/product-catalog/view/store-manager-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/supervisor-short-form/,False,False,1,Simulations
Supervisor 7.0 Solution,https://www.shl.com/products/product-catalog/view/supervisor-7-0-solution/,False,False,1,"Biodata & Situational Judgement, Competencies"
Supervisor 7.1 (Americas),https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28americas%29/,False,False,1,"Biodata & Situational Judgement, Competencies, Personality & Behavior"
Supervisor 7.1 (International),https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28international%29/,False,False,1,"Personality & Behavior, Competencies, Biodata & Situational Judgement"
Support Associate Solution,https://www.shl.com/products/product-catalog/view/support-associate-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Support Supervisor Solution,https://www.shl.com/products/product-catalog/view/support-supervisor-solution/,False,False,1,"Ability & Aptitude, Personality & Behavior, Simulations, Biodata & Situational Judgement"
Technical Sales Associate Solution,https://www.shl.com/products/product-catalog/view/technical-sales-associate-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Technician/Technologist Solution,https://www.shl.com/products/product-catalog/view/techniciantechnologist-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Technology Professional 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/,False,False,1,"Competencies, Personality & Behavior"
Telenurse Solution,https://www.shl.com/products/product-catalog/view/telenurse-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Sales Professional Solution,https://www.shl.com/products/product-catalog/view/sales-professional-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Sales Representative Solution,https://www.shl.com/products/product-catalog/view/sales-representative-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Sales Supervisor Solution,https://www.shl.com/products/product-catalog/view/sales-supervisor-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Sales Support Specialist Solution,https://www.shl.com/products/product-catalog/view/sales-support-specialist-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Senior Insurance Agent Solution,https://www.shl.com/products/product-catalog/view/senior-insurance-agent-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Senior Sales Professional Solution,https://www.shl.com/products/product-catalog/view/senior-sales-professional-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Server Solution,https://www.shl.com/products/product-catalog/view/server-solution/,False,False,1,"Biodata & Situational Judgement, Ability & Aptitude, Personality & Behavior"
Service Associate Solution,https://www.shl.com/products/product-catalog/view/service-associate-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Service Supervisor Solution,https://www.shl.com/products/product-catalog/view/service-supervisor-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Stock Clerk Solution,https://www.shl.com/products/product-catalog/view/stock-clerk-solution/,False,False,1,"Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior"
Store Manager 7.0 Solution,https://www.shl.com/products/product-catalog/view/store-manager-7-0-solution/,False,False,1,"Biodata & Situational Judgement, Competencies"
Store Manager 7.1 (Americas),https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28americas%29/,False,False,1,"Biodata & Situational Judgement, Competencies"
